code,name
50965,미술
50966,음악
50967,영화/드라마
50968,사진
50969,건축
50970,뮤지컬/오페라
50971,예술경영/공연기획
50972,디자인/공예
50973,무용
50974,연극
50975,TV/라디오
50976,미술/음악/예술치료
8723,어학사전
49846,토익
49847,텝스
49848,토플
49845,영어회화
49874,영어시험대비
49834,영문법
49835,영어독해
49833,영어학습법
49838,영어어휘
49949,영작문
49837,영어듣기/말하기
49873,OPIc/인터뷰 영어
49839,영어사전
49884,일본어
49903,중국어
49904,한자
49905,독일어
49930,러시아어
49929,스페인어
49931,이탈리아어
49906,프랑스어
49933,기타 서양어
49932,기타 동양어
49908,외국인을 위한 한국어
49909,통역/번역
65237,사상가/인문학자
51378,교양 인문학
51381,인문 에세이
51384,인문 비평
51385,인문학 전문사전
51387,철학 일반
51390,서양철학
51393,동양철학
51395,심리학/정신분석학
51399,신화/종교학
51403,책읽기/글쓰기
51405,서지/출판
51409,기호학/언어학
51412,논리와 비판적 사고
51415,인류학/고고학
51417,문화/문화이론
51419,학회/무크/계간지
70214,성공
70212,리더십
70211,행복론
2951,인간관계
70236,힐링
107822,정리/심플라이프
70224,협상/설득/화술
70233,프레젠테이션/회의
70228,기획/보고
70220,시간관리/정보관리
70223,창의적사고/두뇌계발
2943,취업/진로/유망직업
70241,20대의 자기계발
70218,여성의 자기계발
70219,중년의 자기계발
7607,건강/의학
7605,경제/경영
11282,과학/기술
148481,교양/문예/인문
5419,교육/취업
2925,대중문화/예술
75997,독립/인디잡지
5421,리빙/가정/주택
2924,만화/애니메이션
148480,수험/어학교재
3563,시사지
3560,어린이/청소년
5420,여성/남성/패션
8097,여행/스포츠/취미
33027,요리/제과제빵
33026,육아
27607,정기구독
3125,종교
32539,주간지
9897,컴퓨터/인터넷/게임
50926,추리/미스터리소설
50927,라이트 노벨
50928,판타지/환상문학
50930,과학소설(SF)
50931,호러.공포소설
50932,무협소설
50933,액션/스릴러소설
50935,로맨스소설
28460,0-3세
28461,4-7세
158699,단행본 전집
29035,초등(1-3)저학년
29036,초등(4-6)고학년
29680,출판사별보기
29670,토이북/교구
28466,문학/논술/고전
28467,영어/학습
28464,인물/역사/사회
28465,자연/과학/수학
28463,전래/명작동화
28462,창작동화
51564,기독교(개신교)
51565,가톨릭
51566,불교
51567,세계의 종교
51568,역학
51569,명상/선
51570,종교일반
73196,부모교육
51762,임신/출산
51770,태교
51763,영유아 육아
51764,초등 자녀
51766,육아
51789,건강/환경
51767,교육/학습
51801,특수교육
7259,청소년/사춘기/성교육
51790,육아/교육 에세이
9671,청소년 경제
36379,중등교육과정
36380,고등교육과정
4621,학습법
1147,논술참고도서
1146,수능시험성공수기
50758,청소년 문학
1140,청소년 역사
2012,청소년의 진로선택
2574,청소년과 성(性)
7268,청소년 고전
1143,청소년 수학/과학
4410,청소년 영어
1141,청소년 문화/예술
32399,청소년 자기계발
1139,청소년 철학
1142,청소년 인문/사회
32663,청소년 인물
28969,청소년의 사회생활
1149,청소년이 쓴 책
7059,미취학 학습
52101,EBS 초등
52102,1학년
52103,2학년
52106,3학년
52107,4학년
52108,5학년
52109,6학년
52114,예비중학
52100,전과/자습서
63824,학습월간지(초등)
52115,영재교육원대비
52116,경시/올림피아드
86701,서술형.논술형
89769,단계별 연산/계산
52111,국어독해/어휘/논술
163885,초등한국사
52112,초등한자/중국어
52113,초등영어전문교재
131616,학습교구
7839,초등학교 출판사별
76729,EBS 중등
76790,중1-문제집
76791,중2-문제집
76792,중3-문제집
76793,중1-자습서
76794,중2-자습서
76795,중3-자습서
160465,중학국어독해
139887,중학연산/도형
76725,예비고등
76726,특목고대비
76728,중학경시대회
76727,논술/글쓰기(중등)
76731,중학영어전문교재
127768,학습/기타
76730,중학교 출판사별
77441,EBS 고등
77021,고등-문제집
77020,고등-자습서
77022,수능대비
77023,수능모의고사/기출
77024,논술/면접/수시
77027,고등영어전문교재
77025,학습자료
77026,고등학교 출판사별
2630,그래픽/멀티미디어
55977,모바일 프로그래밍
55055,스마트폰/태블릿/SNS
2599,오피스(엑셀/파워포인트)
6348,웹디자인/홈페이지
128622,초중고 소프트웨어 교육/코딩
2719,컴퓨터 공학
7396,프로그래밍 개발/방법론
437,프로그래밍 언어
479,활용능력
2349,e비즈니스/창업
363,OS/Networking
2613,PC/게임/디지털 카메라
